day_of_week,lesson_number,time_from,time_to,weeks,classroom,campus,title,teacher,lesson-format
monday,first_lesson,8:20,9:50,"3,5,7,9,11,13,15,17",ауд. 2116,"Кронверкский пр., д.49, лит.А",Информатика,Рыбаков Степан Дмитриевич,Очный
monday,second_lesson,10:00,11:30,"3,5,7,9,11,13,15,17",ауд. 2116,"Кронверкский пр., д.49, лит.А",Информатика,Рыбаков Степан Дмитриевич,Очный
monday,third_lesson,11:40,13:10,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",ауд. 2403,"Кронверкский пр., д.49, лит.А",Основы дискретной математики (базовый уровень),Поляков Владимир Иванович,Очный
monday,fourth_lesson,13:30,15:00,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",ауд. 2403,"Кронверкский пр., д.49, лит.А",Основы дискретной математики (базовый уровень),Поляков Владимир Иванович,Очный
saturday,first_lesson,8:20,9:50,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",,,Линейная алгебра,Свинцов Михаил Викторович,Дистанционный
saturday,second_lesson,10:00,11:30,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",,,Математический анализ,Правдин Константин Владимирович,Дистанционный
saturday,third_lesson,13:30,15:00,"3,5,7,9,11,13,15,17",ауд. 2116,"Кронверкский пр., д.49, лит.А",Основы профессиональной деятельности,Бострикова Дарья Константиновна,Очный
saturday,fourth_lesson,15:20,16:50,"3,5,7,9,11,13,15,17",ауд. 2116,"Кронверкский пр., д.49, лит.А",Основы профессиональной деятельности,Бострикова Дарья Константиновна,Очный
saturday,fifth_lesson,17:00,18:30,"3,5,7,9,11,13,15,17",,,Социальная история России,Мунжукова Светлана Игоревна,Дистанционный
saturday,sixth_lesson,18:40,20:10,"3,5,7,9,11,13,15,17",,,Социальная история России,Кудина Юлия Игоревна,Дистанционный
